國策ID,X座標,Y座標,"耗費時間(通常是3,5,11)",國策標題,國策描述
CHI_new_national_army_spirit,,,3,新國軍，新精神,
CHI_stand_in_the_pacific,,,3,屹立在太平洋上,
CHI_stirring_waves,,,3,激起波濤,
CHI_pride_of_maritime_borders,,,3,傲海疆,
CHI_may_god_bless_your_voyage,,,3,願神祝你勝利航,
CHI_ride_winds_break_waves,,,3,乘長風破萬里浪,
CHI_heroic_warriors,,,3,英勇的戰士,
CHI_loaded_guns_shining_bayonets,,,3,子彈上了膛，刺刀閃寒光,
CHI_men_bound_for_battlefield,,,3,男兒志在沙場,
CHI_thunder_of_nine_heavens,,,3,九天之雷由我響,
CHI_swift_as_gale_and_thunder,,,3,疾風迅雷,
CHI_soaring_ambitions,,,3,壯志凌霄,
CHI_soar_above_kunlun,,,3,遨遊崑崙上空,
CHI_iron_wings_eclipse_sky,,,3,鐵翼蔽空,
CHI_break_night_silence,,,3,打破黑夜寧靜,
CHI_overlord_of_the_skies,,,3,蒼穹霸主,
CHI_cowardly_obstacles,,,3,懦弱無能的阻礙,
CHI_dragons_of_the_sea,,,3,海中蛟龍,
CHI_forest_war_ghosts,,,3,山林戰鬼,
CHI_airborne_vanguard,,,3,空降神兵,
CHI_impeccable_defense,,,3,無懈可擊,
CHI_nine_dragons_twelve_golden_lights,,,3,龍珠九轉十二金光,
